time,open,high,low,close,Plot,Plot,Shapes,Shapes,Lower Level,Upper Level,RSI
2024-06-27T15:00:00+03:00,3403.46,3477,3403.45,3452.75,NaN,NaN,0,0,50.60419329185123,73.44497482533825,56.88994965067651
2024-06-27T19:00:00+03:00,3452.75,3467.5,3439,3449.79,NaN,NaN,0,0,50.60419329185123,73.18229276268369,56.36458552536736
2024-06-27T23:00:00+03:00,3449.78,3455.06,3440.53,3450.44,NaN,NaN,0,0,50.60419329185123,73.18229276268369,56.459672905192
2024-06-28T03:00:00+03:00,3450.44,3487.7,3435.95,3460.5,NaN,NaN,0,0,50.60419329185123,73.18229276268369,57.985659210449924
2024-06-28T07:00:00+03:00,3460.5,3461.07,3427.01,3431.82,NaN,NaN,0,0,50.60419329185123,71.17619028639405,52.352380572788086
2024-06-28T11:00:00+03:00,3431.82,3461.39,3420.24,3452.78,NaN,NaN,0,0,50.60419329185123,71.17619028639405,55.73677160516381
2024-06-28T15:00:00+03:00,3452.79,3476.73,3403.06,3413.61,NaN,NaN,0,0,44.38284140618569,33.06666834570107,48.76568281237138
2024-06-28T19:00:00+03:00,3413.6,3416.6,3365.22,3379.74,NaN,NaN,0,0,44.38284140618569,33.06666834570107,43.67854738073813
2024-06-28T23:00:00+03:00,3379.74,3394.15,3368.73,3380.15,NaN,NaN,0,0,44.38284140618569,33.06666834570107,43.75503585146314
2024-06-29T03:00:00+03:00,3380.15,3399.98,3380.01,3386.07,NaN,NaN,0,0,44.38284140618569,33.06666834570107,44.91823089844913
2024-06-29T07:00:00+03:00,3386.06,3408.32,3381.56,3399.72,NaN,NaN,0,0,44.38284140618569,33.06666834570107,47.60867462750948
2024-06-29T11:00:00+03:00,3399.72,3406.05,3387.2,3400.45,NaN,NaN,0,0,44.38284140618569,33.06666834570107,47.75564516935622
2024-06-29T15:00:00+03:00,3400.45,3403.2,3383,3394.62,NaN,NaN,0,0,44.38284140618569,33.06666834570107,46.63059409996871
2024-06-29T19:00:00+03:00,3394.62,3396.53,3376.81,3387.02,NaN,NaN,0,0,44.38284140618569,33.06666834570107,45.1377410433901
2024-06-29T23:00:00+03:00,3387.02,3389.71,3371.86,3378.8,NaN,NaN,0,0,44.38284140618569,33.06666834570107,43.51507640472179
2024-06-30T03:00:00+03:00,3378.8,3389.61,3352.66,3371.28,NaN,NaN,0,0,44.38284140618569,33.06666834570107,42.026593513088265
2024-06-30T07:00:00+03:00,3371.28,3400,3358.49,3394.03,NaN,NaN,0,0,44.38284140618569,33.06666834570107,47.83950903229758
