time,open,high,low,close,OnBalanceVolume,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,%K,%D,Histogram,MACD,Signal
2023-07-12,30622.1,30983.25,30210,30380,-1520565.386730005,57.76950136073093,62.22584956397954,NaN,NaN,NaN,NaN,NaN,NaN,44,48.561166666666644,-136.68869324541197,587.2750335488054,723.9637267942173
2023-07-13,30380,31804.2,30251,31454.23,-1449792.868370005,66.0245141990953,62.2262573907313,NaN,NaN,NaN,NaN,66.0245141990953,NaN,84.81164829441883,61.638882764806254,-71.9306163089534,634.0504564080256,705.981072716979
2023-07-14,31454.23,31630,29900,30312.01,-1510542.3526100048,53.94885285400291,61.35445879344518,NaN,NaN,NaN,NaN,NaN,NaN,29.0507707376448,52.62080634402121,-106.90089313684166,572.354956295927,679.2558494327686
2023-07-15,30312,30390.9,30200,30289.52,-1524660.9059000048,53.74043674640324,60.42090347283267,NaN,NaN,NaN,NaN,NaN,NaN,27.981437632537393,47.28128555486702,-130.8435688821461,515.701388330086,646.5449572122321
2023-07-16,30289.52,30441.46,30064.29,30231.99,-1540421.0340000049,53.17453327902507,59.43347530432658,NaN,NaN,NaN,NaN,NaN,NaN,25.246055972384728,27.426088114188975,-148.55719526281587,460.84846313371236,609.4056583965282
2023-07-17,30232,30336.96,29659.2,30138,-1571303.802390005,52.20727129995324,58.151361059912105,NaN,NaN,NaN,NaN,NaN,NaN,22.321678321678288,25.183057308866804,-163.4261967379714,405.1229124740639,568.5491092120353
2023-07-18,30138.01,30239.78,29512,29859.13,-1601307.662490005,49.33952814066161,57.01181902753061,NaN,NaN,NaN,NaN,NaN,NaN,15.143966495070277,20.90390026304443,-187.15891313123268,334.6004677979945,521.7593809292272
2023-07-19,29859.14,30189.09,29761.96,29909.21,-1575650.3011200048,49.87204874950442,56.13298503191395,NaN,NaN,NaN,NaN,NaN,NaN,17.328767123287626,18.264803980012065,-193.78373257247483,279.5297152136336,473.31344778610844
2023-07-20,29909.21,30417.46,29570.96,29800,-1613190.9830500048,48.67056919492549,55.64319995729726,NaN,NaN,NaN,NaN,NaN,NaN,12.56434866067533,15.012360759677746,-199.06221300169045,224.48568153399538,423.5478945356858
2023-07-21,29800,30061.7,29726.34,29901.72,-1589309.5744000047,49.88168116852873,54.99134653135606,NaN,NaN,NaN,NaN,NaN,NaN,17.002006805688904,15.631707529883954,-189.3053646760829,186.9161886905822,376.2215533666651
2023-07-22,29901.72,29999,29625.1,29794,-1603969.9790700048,48.574602340846944,54.29309224875916,NaN,NaN,NaN,NaN,NaN,NaN,12.30259139691126,13.956315621091832,-183.57063997266317,146.7582534008361,330.3288933734993
2023-07-23,29793.99,30350,29730,30083.75,-1585677.1927000047,52.20267575156536,53.95466273241134,NaN,NaN,NaN,NaN,52.20267575156536,NaN,24.943285926184444,18.082628042928203,-154.87352672065674,136.73698497267833,291.61051169333507
2023-07-24,30083.75,30099.58,28861.9,29176.5,-1625306.1896100047,42.170495495022244,52.74578386453228,NaN,NaN,42.170495495022244,NaN,NaN,NaN,10.692315535465406,15.979397619520368,-189.325138772843,54.95408822728132,244.2792270001243
2023-07-25,29176.5,29376,29047.65,29228.91,-1603740.4418100046,42.853718381691316,51.45931635442546,NaN,NaN,NaN,NaN,NaN,NaN,12.47357509431392,16.036392185321255,-199.87636847215884,-5.566233590074262,194.31013488208458
2023-07-26,29228.91,29690,29096.94,29351.96,-1569808.8081500046,44.51128037556289,50.512300569770595,NaN,NaN,NaN,NaN,NaN,NaN,16.655677531183013,13.273856053654109,-189.9305501974733,-43.103052864757046,146.82749733271626
2023-07-27,29351.95,29567.49,29083.85,29222.78,-1592285.2844100045,43.097971840201836,48.8746904012782,NaN,NaN,NaN,NaN,NaN,NaN,13.037101260792515,14.055451295429814,-183.3227947769593,-82.32599613848288,100.99679863847643
2023-07-28,29222.78,29542.22,29123.12,29314.14,-1568291.6681400044,44.44154871386267,48.19559724841105,NaN,NaN,NaN,NaN,NaN,NaN,28.630757932588736,19.44117890818809,-164.66148463232685,-104.83005715193212,59.83142748039472
2023-07-29,29314.14,29406.92,29256.18,29352.9,-1557440.2997000043,45.0345247220262,47.57374638952697,NaN,NaN,NaN,NaN,NaN,NaN,31.084605839600947,24.250821677660735,-142.40500890264994,-118.1748336479177,24.230175254732238
2023-07-30,29352.9,29449,29033.24,29281.09,-1573147.2741100043,44.095521005705045,46.92524551286125,NaN,NaN,NaN,NaN,NaN,NaN,26.947851577566876,28.887738449918853,-125.79362353649077,-133.01185416588123,-7.218230629390458
2023-07-31,29281.09,29530,29101.8,29232.25,-1595752.7637500043,43.432222238414546,46.298456294179914,NaN,NaN,NaN,NaN,NaN,NaN,23.80814626243919,27.28020122653567,-111.83866686514834,-147.0165642108259,-35.17789734567755
